,pickup_location_id,pickup_location,pickup_latitude,pickup_longitude
0,1,"EWR,Newark Airport,EWR",40.69244,-74.18296
1,2,"Queens,Jamaica Bay,Boro Zone",40.685694,-73.826055
2,3,"Bronx,Allerton/Pelham Gardens,Boro Zone",40.857445641721,-73.859269747253
3,4,"Manhattan,Alphabet City,Yellow Zone",40.72599,-73.98057
4,5,"Staten Island,Arden Heights,Boro Zone",40.55414,-74.17391
5,6,"Staten Island,Arrochar/Fort Wadsworth,Boro Zone",40.5984,-74.07258
6,7,"Queens,Astoria,Boro Zone",40.77205,-73.92606
7,8,"Queens,Astoria Park,Boro Zone",40.7763,-73.92361
8,9,"Queens,Auburndale,Boro Zone",40.75861,-73.78574
9,10,"Queens,Baisley Park,Boro Zone",40.677376299015,-73.780914426853
10,11,"Brooklyn,Bath Beach,Boro Zone",40.60463,-74.00462
11,12,"Manhattan,Battery Park,Yellow Zone",40.70444,-74.01425
12,13,"Manhattan,Battery Park City,Yellow Zone",40.71131,-74.0159
13,14,"Brooklyn,Bay Ridge,Boro Zone",40.6339,-74.0149
14,15,"Queens,Bay Terrace/Fort Totten,Boro Zone",54.506131559943,-128.564337303235
15,16,"Queens,Bayside,Boro Zone",40.77731,-73.78068
16,17,"Brooklyn,Bedford,Boro Zone",42.098081010662,-84.308603252176
17,18,"Bronx,Bedford Park,Boro Zone",40.86999,-73.88573
18,19,"Queens,Bellerose,Boro Zone",40.72304,-73.71546
19,20,"Bronx,Belmont,Boro Zone",40.85546,-73.88569
20,21,"Brooklyn,Bensonhurst East,Boro Zone",40.60186,-73.9939
21,22,"Brooklyn,Bensonhurst West,Boro Zone",40.60186,-73.9939
22,23,"Staten Island,Bloomfield/Emerson Hill,Boro Zone",40.60838,-74.11615
23,24,"Manhattan,Bloomingdale,Yellow Zone",40.76187,-73.96637
24,25,"Brooklyn,Boerum Hill,Boro Zone",40.68372,-73.98179
25,26,"Brooklyn,Borough Park,Boro Zone",40.63382,-73.99693
26,27,"Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone",40.5673,-73.88382
27,28,"Queens,Briarwood/Jamaica Hills,Boro Zone",40.702182730561,-73.810894554986
28,29,"Brooklyn,Brighton Beach,Boro Zone",40.57795,-73.9601
29,30,"Queens,Broad Channel,Boro Zone",40.60315,-73.8214
30,31,"Bronx,Bronx Park,Boro Zone",40.8542,-73.87146
31,32,"Bronx,Bronxdale,Boro Zone",40.85008,-73.86683
32,33,"Brooklyn,Brooklyn Heights,Boro Zone",40.69535,-73.99405
33,34,"Brooklyn,Brooklyn Navy Yard,Boro Zone",40.22588,-90.76319
34,35,"Brooklyn,Brownsville,Boro Zone",40.6629,-73.91729
35,36,"Brooklyn,Bushwick North,Boro Zone",40.6936,-73.91922
36,37,"Brooklyn,Bushwick South,Boro Zone",40.6936,-73.91922
37,38,"Queens,Cambria Heights,Boro Zone",40.69254,-73.73185
38,39,"Brooklyn,Canarsie,Boro Zone",40.64364,-73.90069
39,40,"Brooklyn,Carroll Gardens,Boro Zone",40.6802,-74.00163
40,41,"Manhattan,Central Harlem,Boro Zone",40.80881,-73.94796
41,42,"Manhattan,Central Harlem North,Boro Zone",40.80881,-73.94796
42,43,"Manhattan,Central Park,Yellow Zone",40.78392,-73.96584
43,44,"Staten Island,Charleston/Tottenville,Boro Zone",40.51128,-74.25057
44,45,"Manhattan,Chinatown,Yellow Zone",40.71646,-73.99676
45,46,"Bronx,City Island,Boro Zone",40.84702,-73.78758
46,47,"Bronx,Claremont/Bathgate,Boro Zone",40.84699,-73.89793
47,48,"Manhattan,Clinton East,Yellow Zone",40.76449,-73.9882
48,49,"Brooklyn,Clinton Hill,Boro Zone",40.68682,-73.9647
49,50,"Manhattan,Clinton West,Yellow Zone",40.76449,-73.9882
50,51,"Bronx,Co-Op City,Boro Zone",44.66449,7.9955
51,52,"Brooklyn,Cobble Hill,Boro Zone",40.68978,-73.99817
52,53,"Queens,College Point,Boro Zone",40.7841,-73.84581
53,54,"Brooklyn,Columbia Street,Boro Zone",40.684446717712,-74.002963871067
54,55,"Brooklyn,Coney Island,Boro Zone",40.5755,-73.97845
55,56,"Queens,Corona,Boro Zone",40.74637,-73.85483
56,57,"Queens,Corona,Boro Zone",40.74637,-73.85483
57,58,"Bronx,Country Club,Boro Zone",40.84623,-73.82071
58,59,"Bronx,Crotona Park,Boro Zone",40.83359,-73.88837
59,60,"Bronx,Crotona Park East,Boro Zone",40.838140007499,-73.887290039047
60,61,"Brooklyn,Crown Heights North,Boro Zone",40.66878,-73.95576
61,62,"Brooklyn,Crown Heights South,Boro Zone",40.66878,-73.95576
62,63,"Brooklyn,Cypress Hills,Boro Zone",40.67794,-73.89163
63,64,"Queens,Douglaston,Boro Zone",40.76863,-73.74734
64,65,"Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone",40.689927137572,-73.979950215956
65,66,"Brooklyn,DUMBO/Vinegar Hill,Boro Zone",40.70198,-73.98282
66,67,"Brooklyn,Dyker Heights,Boro Zone",40.62133,-74.00995
67,68,"Manhattan,East Chelsea,Yellow Zone",40.7461,-74.00045
68,69,"Bronx,East Concourse/Concourse Village,Boro Zone",40.83318,-73.91399
69,70,"Queens,East Elmhurst,Boro Zone",40.76439,-73.87402
70,71,"Brooklyn,East Flatbush/Farragut,Boro Zone",40.636568336186,-73.920983014979
71,72,"Brooklyn,East Flatbush/Remsen Village,Boro Zone",40.650781903014,-73.917714024441
72,73,"Queens,East Flushing,Boro Zone",40.75566,-73.81028
73,74,"Manhattan,East Harlem North,Boro Zone",40.79828,-73.94081
74,75,"Manhattan,East Harlem South,Boro Zone",40.79828,-73.94081
75,76,"Brooklyn,East New York,Boro Zone",40.66643,-73.88269
76,77,"Brooklyn,East New York/Pennsylvania Avenue,Boro Zone",40.647533853812,-73.881531762325
77,78,"Bronx,East Tremont,Boro Zone",40.84539,-73.89114
78,79,"Manhattan,East Village,Yellow Zone",40.72804,-73.98499
79,80,"Brooklyn,East Williamsburg,Boro Zone",40.708,-73.9399
80,81,"Bronx,Eastchester,Boro Zone",40.88811,-73.82837
81,82,"Queens,Elmhurst,Boro Zone",40.74361,-73.88433
82,83,"Queens,Elmhurst/Maspeth,Boro Zone",40.74361,-73.88433
83,84,"Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone",40.54354,-74.16385
84,85,"Brooklyn,Erasmus,Boro Zone",40.649654095456,-73.952625064858
85,86,"Queens,Far Rockaway,Boro Zone",40.60401,-73.75249
86,87,"Manhattan,Financial District North,Yellow Zone",40.70906,-74.01061
87,88,"Manhattan,Financial District South,Yellow Zone",40.70906,-74.01061
88,89,"Brooklyn,Flatbush/Ditmas Park,Boro Zone",40.64031,-73.96183
89,90,"Manhattan,Flatiron,Yellow Zone",45.76044,10.1174
90,91,"Brooklyn,Flatlands,Boro Zone",40.62114,-73.93528
91,92,"Queens,Flushing,Boro Zone",40.76358,-73.83004
92,93,"Queens,Flushing Meadows-Corona Park,Boro Zone",40.74612,-73.85279
93,94,"Bronx,Fordham South,Boro Zone",40.85946,-73.90212
94,95,"Queens,Forest Hills,Boro Zone",40.72267,-73.84791
95,96,"Queens,Forest Park/Highland Park,Boro Zone",27.930009997417,-81.458904995331
96,97,"Brooklyn,Fort Greene,Boro Zone",40.69319,-73.97168
97,98,"Queens,Fresh Meadows,Boro Zone",40.74162,-73.78299
98,99,"Staten Island,Freshkills Park,Boro Zone",40.55564,-74.21396
99,100,"Manhattan,Garment District,Yellow Zone",40.7544,-73.99185
100,101,"Queens,Glen Oaks,Boro Zone",40.748,-73.71324
101,102,"Queens,Glendale,Boro Zone",40.70141,-73.8872
102,103,"Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone",40.70267,-74.01424
103,104,"Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone",40.70267,-74.01424
104,105,"Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone",40.70267,-74.01424
105,106,"Brooklyn,Gowanus,Boro Zone",40.67236,-73.99027
106,107,"Manhattan,Gramercy,Yellow Zone",30.067187467044,-90.704068437392
107,108,"Brooklyn,Gravesend,Boro Zone",-29.633917682634,150.269230515822
108,109,"Staten Island,Great Kills,Boro Zone",40.55416,-74.1524
109,110,"Staten Island,Great Kills Park,Boro Zone",40.55649,-74.12796
110,111,"Brooklyn,Green-Wood Cemetery,Boro Zone",40.659099,-73.996138
111,112,"Brooklyn,Greenpoint,Boro Zone",40.7304,-73.95204
112,113,"Manhattan,Greenwich Village North,Yellow Zone",40.73245,-73.99406
113,114,"Manhattan,Greenwich Village South,Yellow Zone",40.73245,-73.99406
114,115,"Staten Island,Grymes Hill/Clifton,Boro Zone",40.61855,-74.09378
115,116,"Manhattan,Hamilton Heights,Boro Zone",40.82238,-73.94968
116,117,"Queens,Hammels/Arverne,Boro Zone",40.58997,-73.80931
117,118,"Staten Island,Heartland Village/Todt Hill,Boro Zone",40.5818,-74.16258
118,119,"Bronx,Highbridge,Boro Zone",40.84211529775,-73.928199472347
119,120,"Manhattan,Highbridge Park,Boro Zone",40.84173,-73.9355
120,121,"Queens,Hillcrest/Pomonok,Boro Zone",40.72696,-73.79832
121,122,"Queens,Hollis,Boro Zone",40.7188,-73.76465
122,123,"Brooklyn,Homecrest,Boro Zone",40.586449859123,-73.956891156328
123,124,"Queens,Howard Beach,Boro Zone",40.65483,-73.84602
124,125,"Manhattan,Hudson Sq,Yellow Zone",40.723440011834,-74.006164997819
125,126,"Bronx,Hunts Point,Boro Zone",40.81242,-73.8845
126,127,"Manhattan,Inwood,Boro Zone",40.86596,-73.9261
127,128,"Manhattan,Inwood Hill Park,Boro Zone",40.86987,-73.92094
128,129,"Queens,Jackson Heights,Boro Zone",40.7494,-73.88756
129,130,"Queens,Jamaica,Boro Zone",40.685694,-73.826055
130,131,"Queens,Jamaica Estates,Boro Zone",40.71795,-73.78269
131,132,"Queens,JFK Airport,Airports",40.64459,-73.79436
132,133,"Brooklyn,Kensington,Boro Zone",40.64626,-73.97108
133,134,"Queens,Kew Gardens,Boro Zone",40.70865,-73.82891
134,135,"Queens,Kew Gardens Hills,Boro Zone",40.73064,-73.82408
135,136,"Bronx,Kingsbridge Heights,Boro Zone",40.87239,-73.90154
136,137,"Manhattan,Kips Bay,Yellow Zone",40.74213,-73.97781
137,138,"Queens,LaGuardia Airport,Airports",40.77572,-73.87453
138,139,"Queens,Laurelton,Boro Zone",40.66692,-73.75215
139,140,"Manhattan,Lenox Hill East,Yellow Zone",40.821068764756,-73.935684122619
140,141,"Manhattan,Lenox Hill West,Yellow Zone",40.821068764756,-73.935684122619
141,142,"Manhattan,Lincoln Square East,Yellow Zone",40.77513,-73.98228
142,143,"Manhattan,Lincoln Square West,Yellow Zone",40.77513,-73.98228
143,144,"Manhattan,Little Italy/NoLiTa,Yellow Zone",40.71891,-73.99609
144,145,"Queens,Long Island City/Hunters Point,Boro Zone",40.744102787388,-73.957390789114
145,146,"Queens,Long Island City/Queens Plaza,Boro Zone",40.749761277394,-73.938250669598
146,147,"Bronx,Longwood,Boro Zone",40.81748,-73.89816
147,148,"Manhattan,Lower East Side,Yellow Zone",40.71693,-73.98423
148,149,"Brooklyn,Madison,Boro Zone",34.782473101357,-86.743177297832
149,150,"Brooklyn,Manhattan Beach,Boro Zone",40.57737,-73.94774
150,151,"Manhattan,Manhattan Valley,Yellow Zone",39.175472334526,-96.588095305441
151,152,"Manhattan,Manhattanville,Boro Zone",40.7145,-74.00601
152,153,"Manhattan,Marble Hill,Boro Zone",40.87641,-73.911
153,154,"Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone",40.58119,-73.88783
154,155,"Brooklyn,Marine Park/Mill Basin,Boro Zone",40.61194,-73.93665
155,156,"Staten Island,Mariners Harbor,Boro Zone",40.6355,-74.15922
156,157,"Queens,Maspeth,Boro Zone",40.72729,-73.89544
157,158,"Manhattan,Meatpacking/West Village West,Yellow Zone",40.740863552303,-74.009047180312
158,159,"Bronx,Melrose South,Boro Zone",40.82443,-73.91069
159,160,"Queens,Middle Village,Boro Zone",40.71238,-73.8827
160,161,"Manhattan,Midtown Center,Yellow Zone",40.7588,-73.97291
161,162,"Manhattan,Midtown East,Yellow Zone",22.33505,114.14242
162,163,"Manhattan,Midtown North,Yellow Zone",22.33505,114.14242
163,164,"Manhattan,Midtown South,Yellow Zone",22.33505,114.14242
164,165,"Brooklyn,Midwood,Boro Zone",40.62326,-73.95653
165,166,"Manhattan,Morningside Heights,Boro Zone",40.81053,-73.96206
166,167,"Bronx,Morrisania/Melrose,Boro Zone",40.8291,-73.90671
167,168,"Bronx,Mott Haven/Port Morris,Boro Zone",40.80134,-73.90996
168,169,"Bronx,Mount Hope,Boro Zone",40.84912,-73.90631
169,170,"Manhattan,Murray Hill,Yellow Zone",40.74855,-73.97605
170,171,"Queens,Murray Hill-Queens,Boro Zone",40.76583,-73.80842
171,172,"Staten Island,New Dorp/Midland Beach,Boro Zone",40.57284,-74.09523
172,173,"Queens,North Corona,Boro Zone",40.75306,-73.86119
173,174,"Bronx,Norwood,Boro Zone",40.87869,-73.87929
174,175,"Queens,Oakland Gardens,Boro Zone",40.74905,-73.75668
175,176,"Staten Island,Oakwood,Boro Zone",40.5639,-74.11637
176,177,"Brooklyn,Ocean Hill,Boro Zone",40.660892048106,-73.657576032357
177,178,"Brooklyn,Ocean Parkway South,Boro Zone",40.61452,-73.96947
178,179,"Queens,Old Astoria,Boro Zone",40.77205,-73.92606
179,180,"Queens,Ozone Park,Boro Zone",40.68012,-73.84736
180,181,"Brooklyn,Park Slope,Boro Zone",40.67044,-73.98718
181,182,"Bronx,Parkchester,Boro Zone",40.83913,-73.86109
182,183,"Bronx,Pelham Bay,Boro Zone",40.889288559436,-73.816641931641
183,184,"Bronx,Pelham Bay Park,Boro Zone",40.86335,-73.80197
184,185,"Bronx,Pelham Parkway,Boro Zone",40.857217192787,-73.868509958461
185,186,"Manhattan,Penn Station/Madison Sq West,Yellow Zone",41.74832,-77.53517
186,187,"Staten Island,Port Richmond,Boro Zone",40.63365,-74.12874
187,188,"Brooklyn,Prospect-Lefferts Gardens,Boro Zone",40.65061,-73.95387
188,189,"Brooklyn,Prospect Heights,Boro Zone",40.67747,-73.96583
189,190,"Brooklyn,Prospect Park,Boro Zone",40.64694,-73.9631
190,191,"Queens,Queens Village,Boro Zone",40.71481,-73.75076
191,192,"Queens,Queensboro Hill,Boro Zone",40.74292,-73.82061
192,193,"Queens,Queensbridge/Ravenswood,Boro Zone",40.714,-73.82999
193,194,"Manhattan,Randalls Island,Yellow Zone",40.795284230642,-73.921313367379
194,195,"Brooklyn,Red Hook,Boro Zone",40.67502,-74.01023
195,196,"Queens,Rego Park,Boro Zone",40.73194,-73.86884
196,197,"Queens,Richmond Hill,Boro Zone",40.70055,-73.82806
197,198,"Queens,Ridgewood,Boro Zone",40.70074,-73.89509
198,199,"Bronx,Rikers Island,Boro Zone",40.787374765826,-73.884849080957
199,200,"Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone",40.907280856946,-73.9040113299
200,201,"Queens,Rockaway Park,Boro Zone",40.5799,-73.83692
201,202,"Manhattan,Roosevelt Island,Boro Zone",40.76456,-73.94732
202,203,"Queens,Rosedale,Boro Zone",40.65954,-73.73994
203,204,"Staten Island,Rossville/Woodrow,Boro Zone",40.55565,-74.21358
204,205,"Queens,Saint Albans,Boro Zone",40.69329,-73.75644
205,206,"Staten Island,Saint George/New Brighton,Boro Zone",40.64228,-74.08078
206,207,"Queens,Saint Michaels Cemetery/Woodside,Boro Zone",40.766414,-73.896908
207,208,"Bronx,Schuylerville/Edgewater Park,Boro Zone",40.83732,-73.83159
208,209,"Manhattan,Seaport,Yellow Zone",40.707149992561,-74.004525036553
209,210,"Brooklyn,Sheepshead Bay,Boro Zone",40.59094,-73.94493
210,211,"Manhattan,SoHo,Yellow Zone",40.7252,-74.00415
211,212,"Bronx,Soundview/Bruckner,Boro Zone",40.824504465779,-73.871142410111
212,213,"Bronx,Soundview/Castle Hill,Boro Zone",40.82029,-73.84832
213,214,"Staten Island,South Beach/Dongan Hills,Boro Zone",40.58834,-74.09649
214,215,"Queens,South Jamaica,Boro Zone",40.68094,-73.79089
215,216,"Queens,South Ozone Park,Boro Zone",40.67544,-73.81114
216,217,"Brooklyn,South Williamsburg,Boro Zone",40.698337835102,-73.962760026992
217,218,"Queens,Springfield Gardens North,Boro Zone",40.66318,-73.76926
218,219,"Queens,Springfield Gardens South,Boro Zone",40.66318,-73.76926
219,220,"Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone",40.87395995123,-73.902753389809
220,221,"Staten Island,Stapleton,Boro Zone",40.62659,-74.07637
221,222,"Brooklyn,Starrett City,Boro Zone",40.65014,-73.88444
222,223,"Queens,Steinway,Boro Zone",40.77376,-73.90494
223,224,"Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone",40.734872337033,-73.977029887165
224,225,"Brooklyn,Stuyvesant Heights,Boro Zone",40.681979438148,-73.931847940679
225,226,"Queens,Sunnyside,Boro Zone",40.74244,-73.92074
226,227,"Brooklyn,Sunset Park East,Boro Zone",40.64558,-74.00982
227,228,"Brooklyn,Sunset Park West,Boro Zone",40.64558,-74.00982
228,229,"Manhattan,Sutton Place/Turtle Bay North,Yellow Zone",40.75716,-73.9623
229,230,"Manhattan,Times Sq/Theatre District,Yellow Zone",40.75888,-73.98482
230,231,"Manhattan,TriBeCa/Civic Center,Yellow Zone",40.71337,-74.0038
231,232,"Manhattan,Two Bridges/Seward Park,Yellow Zone",40.71192,-73.99692
232,233,"Manhattan,UN/Turtle Bay South,Yellow Zone",40.75924,-73.96503
233,234,"Manhattan,Union Sq,Yellow Zone",40.73687,-73.98996
234,235,"Bronx,University Heights/Morris Heights,Boro Zone",40.85183,-73.91626
235,236,"Manhattan,Upper East Side North,Yellow Zone",40.77062,-73.95703
236,237,"Manhattan,Upper East Side South,Yellow Zone",40.77062,-73.95703
237,238,"Manhattan,Upper West Side North,Yellow Zone",40.79251,-73.9732
238,239,"Manhattan,Upper West Side South,Yellow Zone",40.79251,-73.9732
239,240,"Bronx,Van Cortlandt Park,Boro Zone",40.89507,-73.88015
240,241,"Bronx,Van Cortlandt Village,Boro Zone",40.885520014393,-73.894680027801
241,242,"Bronx,Van Nest/Morris Park,Boro Zone",40.845712612597,-73.863727420405
242,243,"Manhattan,Washington Heights North,Boro Zone",40.85546,-73.93379
243,244,"Manhattan,Washington Heights South,Boro Zone",40.84231,-73.93924
244,245,"Staten Island,West Brighton,Boro Zone",40.62744,-74.10909
245,246,"Manhattan,West Chelsea/Hudson Yards,Yellow Zone",40.75431,-74.00119
246,247,"Bronx,West Concourse,Boro Zone",40.82764,-73.92535
247,248,"Bronx,West Farms/Bronx River,Boro Zone",40.83976,-73.87793
248,249,"Manhattan,West Village,Yellow Zone",40.73497,-74.00483
249,250,"Bronx,Westchester Village/Unionport,Boro Zone",40.84114,-73.84491
250,251,"Staten Island,Westerleigh,Boro Zone",40.62102,-74.13205
251,252,"Queens,Whitestone,Boro Zone",40.78863,-73.81373
252,253,"Queens,Willets Point,Boro Zone",40.786790508562,-73.792776615931
253,254,"Bronx,Williamsbridge/Olinville,Boro Zone",40.87725,-73.8566
254,255,"Brooklyn,Williamsburg (North Side),Boro Zone",40.71478,-73.95276
255,256,"Brooklyn,Williamsburg (South Side),Boro Zone",40.71407,-73.95363
256,257,"Brooklyn,Windsor Terrace,Boro Zone",40.65397,-73.97785
257,258,"Queens,Woodhaven,Boro Zone",40.69263,-73.86102
258,259,"Bronx,Woodlawn/Wakefield,Boro Zone",40.89816,-73.86736
259,260,"Queens,Woodside,Boro Zone",40.74696,-73.90279
260,261,"Manhattan,World Trade Center,Yellow Zone",40.70969,-74.01167
261,262,"Manhattan,Yorkville East,Yellow Zone",40.77808,-73.9485
262,263,"Manhattan,Yorkville West,Yellow Zone",40.77808,-73.9485
263,264,No,0.0,0.0
264,265,No,0.0,0.0
